BackendTime,ch0sens,ch2sens,ch7sens
1748545698330.1345,1.02593195438385,0.0834083035588264,-0.027186032384634
1748545698332.3435,1.0265601873397827,0.0880941674113273,-0.0299351811408996
1748545698334.266,1.026371717453003,0.0681011602282524,-0.0216877330094575
1748545698358.417,1.026371717453003,0.0681011602282524,-0.0216877330094575
1748545698361.8855,1.0266700983047483,0.0762233212590217,-0.0262696482241153
1748545698365.0603,1.0266700983047483,0.0762233212590217,-0.0262696482241153
1748545698366.7944,1.025853395462036,0.0759109258651733,-0.0314624868333339
1748545698442.1128,1.0248900651931765,0.0765357092022895,-0.0336007140576839
1748545698542.2312,1.0269843339920044,0.0771604925394058,-0.0323788709938526
1748545698642.7432,1.025214672088623,0.0699755027890205,-0.0226041171699762
1748545698742.4717,1.024675369262695,0.072162240743637,-0.0308515634387731
1748545698841.9033,1.028853416442871,0.0840330868959426,-0.0293242596089839
1748545698943.8652,1.0248743295669556,0.077785275876522,-0.027186032384634
1748545699045.0789,1.024722456932068,0.0752861499786377,-0.027186032384634
1748545699146.013,1.0259371995925903,0.0862198173999786,-0.0241314209997653
1748545699247.108,1.0265496969223022,0.0837206915020942,-0.0369607843458652
1748545699347.0735,1.0274869203567505,0.0784100517630577,-0.0290187988430261
1748545699447.6104,1.0252094268798828,0.0749737545847892,-0.0308515634387731
1748545699548.652,1.0259424448013306,0.0893437266349792,-0.0232150387018919
1748545699649.5708,1.026623010635376,0.0868446007370948,-0.0308515634387731
1748545699750.7751,1.025963306427002,0.0749737545847892,-0.025047805160284
1748545699851.3586,1.0276963710784912,0.0812215730547905,-0.0131348241120576
1748545699951.025,1.025486946105957,0.0765357092022895,-0.0302406419068574
1748545700052.3865,1.0273507833480835,0.0805967897176742,-0.0235204994678497
1748545700153.7017,1.0239214897155762,0.0755985379219055,-0.0259641874581575
1748545700254.0696,1.0246073007583618,0.086532212793827,-0.0219931937754154
1748545700353.4055,1.026591658592224,0.0796596184372901,-0.0161894354969263
1748545700453.2913,1.024282693862915,0.0724746286869049,-0.0216877330094575
1748545700554.272,1.0264555215835571,0.0796596184372901,-0.0308515634387731
1748545700654.257,1.0269843339920044,0.0790348351001739,-0.022909577935934
1748545700755.448,1.0237748622894287,0.0905932858586311,-0.0265751089900732
1748545700856.9712,1.0254031419754028,0.0849702581763267,-0.025047805160284
1748545700957.8535,1.0257905721664429,0.0815339609980583,-0.0253532659262418
1748545701058.3003,1.0264712572097778,0.0727870240807533,-0.0378771685063838
1748545701158.196,1.0267696380615234,0.0749737545847892,-0.022909577935934
1748545701259.7312,1.0269843339920044,0.0740365833044052,-0.0372662469744682
1748545701456.1687,1.027146577835083,0.0843454748392105,-0.0332952514290809
1748545701461.5625,1.025439739227295,0.0715374574065208,-0.0339061729609966
1748545701562.2068,1.0262984037399292,0.0749737545847892,-0.0320734083652496
1748545701662.913,1.024528741836548,0.0802843943238258,-0.0201604273170232
1748545701763.6638,1.0263454914093018,0.0805967897176742,-0.0274914931505918
1748545701865.0105,1.0260523557662964,0.0765357092022895,-0.0293242596089839
1748545701964.113,1.027167558670044,0.0749737545847892,-0.0210768114775419
1748545702066.1667,1.0282042026519775,0.0740365833044052,-0.0348225571215152
1748545702166.2493,1.0250157117843628,0.0802843943238258,-0.0247423443943262
1748545702267.202,1.025188446044922,0.0737241953611373,-0.0241314209997653
1748545702366.4062,1.0307329893112185,0.0759109258651733,-0.0274914931505918
1748545702467.42,1.02689528465271,0.0755985379219055,-0.0308515634387731
1748545702567.879,1.0283193588256836,0.088718943297863,-0.0421536229550838
1748545702667.594,1.0255340337753296,0.0834083035588264,-0.0171058177947998
1748545702769.027,1.0275810956954956,0.0790348351001739,-0.0351280197501182
1748545702870.096,1.0261675119400024,0.0859074294567108,-0.0369607843458652
1748545702970.1797,1.0278795957565308,0.0787224471569061,-0.0479573830962181
1748545703070.2173,1.0289005041122437,0.0740365833044052,-0.079725332558155
1748545703172.4202,1.0299110412597656,0.0862198173999786,-0.0445973090827465
1748545703271.3647,1.0307748317718506,0.0687259435653686,-0.0317679457366466
1748545703373.2126,1.028492093086243,0.0727870240807533,-0.0274914931505918
1748545703473.271,1.0273717641830444,0.0730994120240211,-0.0265751089900732
1748545703573.4995,1.028544545173645,0.0880941674113273,-0.0287133362144231
1748545703675.0933,1.0273507833480835,0.0693507269024849,-0.0216877330094575
